,CALLTYPE_CODE,CALL_TYPE
1753,1091,ANIMAL COMPLAINT
1803,1091AEMS,1091AB          - VICIOUS ANIMAL (COMBINED EVENT)
1902,368,ELDER/DEPENDENT ADULT ABUSE
1959,11550,USE OF CONTROLLED SUBSTANCE
1963,415MC,"DISTURBANCE, MOTORCYCLE"
2180,415UNKEMS,"DISTURBANCE, UNKNOWN (COMBINED EVENT)"
2220,1066X,SUSPICIOUS FEMALE
2221,243,BATTERY ON AN OFFICER
2316,211AEMS,ARMED ROBBERY (COMBINED EVENT)
3486,12500,UNLICENSED DRIVER
3726,1095X,PEDESTRIAN STOP ON FEMALE
4119,1065X,MISSING FEMALE
4124,476A,BAD CHECKS
4157,647.6,MOLEST/ANNOY UNDER 18YRS
4165,290,REGISTRATION OF SEX OFFENDER
4233,647B,SOLICITING FOR PROSTITUTION
4321,1091A,VICIOUS ANIMAL
4527,496,RECEIVE/POSSESS STOLEN PROP
4544,245G,"ASSAULT WITH DEADLY WEAPON, GANG"
4662,23110,THROWING SUBSTANCES AT VEHICLE
4668,484R,THEFT OF RECYCLABLES
4997,1091D,DEAD ANIMAL
7789,597,CRUELTY TO ANIMALS
8125,SUSCIREMS,SUSPICIOUS CIRCUMSTANCES (COMBINED EVENT)
8212,602N,REFUSAL TO LEAVE PROPERTY
8759,3056,PAROLE VIOLATION
8815,1067X,FEMALE CALLING FOR HELP
9450,1091C,INJURED ANIMAL
10355,11377,POSSESSION OF NARCOTICS
10373,23109,SPEED CONTEST
11467,1058,GARBAGE COMPLAINT
11506,415J,"DISTURBANCE, JUVENILE"
12500,CPM,COMMUNITY POLICING MEETING
12774,12020G,"ILLEGAL WEAPONS, GANG RELATED"
14738,241,ASSAULT ON AN OFFICER
14752,647C,OBSTRUCT STREETS OR SIDEWALK
14753,646.9,STALKING
14963,243D,"BATTERY, SERIOUS INJURY"
16068,CODE6F,FELONY WANT
17709,653M,OBSCENE OR HARASSING PH CALLS
18751,CODE10,BOMB THREAT
19137,CODE6M,MISDEMEANOR WANT
19403,211PS,PURSE SNATCH ROBBERY
19717,470,FORGERY
24099,537,DEFRAUDING AN INKEEPER
24275,415WEMS,"DISTURBANCE, WEAPON (COMBINED EVENT)"
27476,CPB,COMMUNIT POLICING BIKE
29244,1072,PERSON STABBED
30816,11350,POSSESSION OF CONTROLLED SUBSTANCE
